,ACOHH,AntQHH,avegnepHH,baderHH,dynilsHH,genhiveHH,gissHH,HaeaHH,HAHAHH,iseaHH,ksatsHH,LearnGIHH,mcHH,mlHH,phunterHH,sailsHH,selfsearchHH,VnStwHH
0,107223.63636363637,63244.09090909091,50856.818181818184,61928.545454545456,67156.36363636363,67005.90909090909,95983.90909090909,75033.81818181818,213008.81818181818,331245.2727272727,54021.72727272727,106770.72727272728,69844.81818181818,60430.545454545456,92234.81818181818,61110.454545454544,64197.0,70089.63636363637
1,92124.09090909091,50960.181818181816,63847.0,107845.90909090909,128164.09090909091,63018.09090909091,517245.1818181818,43884.36363636364,243424.0,58424.454545454544,58300.63636363636,270704.0,69857.45454545454,79839.36363636363,35548.454545454544,64145.90909090909,61638.09090909091,91429.0
2,47123.72727272727,31290.81818181818,36734.818181818184,46663.90909090909,30214.636363636364,35184.454545454544,169185.72727272726,42282.818181818184,217848.27272727274,87000.36363636363,30543.272727272728,156786.27272727274,54856.63636363636,35861.818181818184,23446.545454545456,77127.18181818182,37558.90909090909,96470.45454545454
3,2062.6363636363635,854.0,3430.181818181818,6996.545454545455,17433.636363636364,1229.090909090909,107260.90909090909,1674.3636363636363,239311.18181818182,2460.4545454545455,477.54545454545456,1384.8181818181818,5462.909090909091,5478.363636363636,196.8181818181818,6192.636363636364,3653.0,2282.090909090909
4,19640.272727272728,1135.6363636363637,2505.818181818182,7557.272727272727,18195.363636363636,1022.3636363636364,98957.27272727272,2047.909090909091,245032.36363636365,1431.6363636363637,996.8181818181819,1913.2727272727273,3731.909090909091,5354.0,418.3636363636364,6144.909090909091,4362.727272727273,2395.2727272727275
5,1939.7272727272727,1136.8181818181818,3113.181818181818,6737.454545454545,16555.272727272728,1761.7272727272727,107957.45454545454,3144.7272727272725,257232.54545454544,1545.1818181818182,846.9090909090909,1763.1818181818182,4597.181818181818,4699.545454545455,320.54545454545456,5462.0,2901.909090909091,2636.0
6,178480.9090909091,48790.0,114428.81818181818,269529.0,654911.5454545454,39326.27272727273,1094640.1818181819,76171.81818181818,1394314.8181818181,66407.18181818182,49041.454545454544,336950.1818181818,896217.7272727273,361777.8181818182,64964.72727272727,801078.0,66224.27272727272,108728.81818181818
7,1277900.6363636365,3095997.4545454546,2006424.4545454546,791952.9090909091,983758.7272727273,1705413.8181818181,1816111.0909090908,1407551.7272727273,4891033.090909091,915116.0,43120.27272727273,901999.1818181818,2234213.909090909,1571729.9090909092,96674.90909090909,2607306.272727273,912021.5454545454,950897.7272727273
8,1736133.2727272727,2645702.8181818184,2427736.1818181816,716037.7272727273,987687.3636363636,1625639.1818181819,1746238.0,1288189.2727272727,4420342.818181818,835001.1818181818,43051.454545454544,551460.7272727273,2349628.090909091,1539425.3636363635,44470.63636363636,2227694.090909091,1062453.0909090908,1364891.7272727273
9,1553860.1818181819,951907.1818181818,1097657.9090909092,780563.7272727273,907772.9090909091,1965676.2727272727,1723625.0,2058859.5454545454,3737598.727272727,2344602.1818181816,263930.8181818182,2082942.4545454546,2735082.0,862611.6363636364,1021484.8181818182,2538581.909090909,574927.8181818182,3026791.0
10,116260.0,50792.63636363636,64293.181818181816,91572.0,50673.454545454544,82536.81818181818,442254.36363636365,64231.454545454544,352953.36363636365,256410.36363636365,56903.63636363636,299143.7272727273,67609.18181818182,66936.54545454546,12002.09090909091,66503.63636363637,50190.63636363636,62450.90909090909
11,123939.27272727272,29937.636363636364,30430.272727272728,33165.90909090909,19906.545454545456,21141.909090909092,132437.18181818182,28136.727272727272,86676.81818181818,38957.09090909091,80267.45454545454,156577.81818181818,113337.0,29197.454545454544,24312.363636363636,27167.727272727272,29401.363636363636,79744.18181818182
12,44753.454545454544,41104.63636363636,135733.45454545456,45672.454545454544,73021.54545454546,857442.0,60114.09090909091,34741.90909090909,48244.454545454544,638064.0909090909,405968.54545454547,608939.3636363636,665373.9090909091,60241.545454545456,38299.90909090909,143038.9090909091,1306974.9090909092,90269.45454545454
13,196581.9090909091,22005.727272727272,20576.0,33513.09090909091,33328.454545454544,22568.363636363636,66078.54545454546,332148.7272727273,422004.2727272727,94452.63636363637,20754.090909090908,56408.0,91094.54545454546,35385.72727272727,31036.272727272728,85599.90909090909,219700.63636363635,32544.545454545456
14,105127.45454545454,19870.272727272728,25725.090909090908,28795.727272727272,31762.090909090908,15678.90909090909,81349.72727272728,260219.81818181818,334731.36363636365,155487.27272727274,20372.454545454544,110661.18181818182,103397.36363636363,17774.727272727272,25281.81818181818,23660.272727272728,193051.18181818182,41517.72727272727
15,533361.5454545454,25048.81818181818,338417.0,20485.909090909092,25606.454545454544,190750.0909090909,77186.0,38114.27272727273,185507.27272727274,343262.7272727273,189003.18181818182,56123.0,372660.36363636365,331078.36363636365,27877.272727272728,27323.363636363636,486427.63636363635,49094.09090909091
16,35550.36363636364,26065.090909090908,693903.0909090909,19205.909090909092,30361.909090909092,32238.18181818182,90592.45454545454,520801.9090909091,195397.9090909091,530173.0909090909,32221.454545454544,30957.909090909092,1167942.3636363635,339386.2727272727,27872.636363636364,29710.727272727272,358070.9090909091,59897.545454545456
17,30490.18181818182,25374.727272727272,379293.7272727273,24856.81818181818,29016.090909090908,28147.0,25391.272727272728,25549.0,198922.9090909091,27193.545454545456,26033.363636363636,41836.0,482532.0909090909,23473.0,19912.090909090908,29811.81818181818,189416.0,28841.454545454544
18,250171.72727272726,35877.72727272727,518971.0909090909,50927.36363636364,29435.454545454544,44847.181818181816,59175.72727272727,210007.81818181818,247924.72727272726,649515.0909090909,29389.272727272728,93251.0,528392.9090909091,33862.36363636364,104905.63636363637,189200.54545454544,690263.5454545454,84274.81818181818
19,692520.8181818182,263720.0,166976.36363636365,957057.0909090909,841705.5454545454,216230.45454545456,1234990.8181818181,306051.45454545453,383993.36363636365,262310.2727272727,90558.0,996115.8181818182,493024.2727272727,552710.0909090909,851846.7272727273,276276.8181818182,124643.09090909091,528144.6363636364
20,34779.0,55450.09090909091,101049.81818181818,81962.54545454546,56244.27272727273,204595.36363636365,71545.54545454546,47123.0,405944.9090909091,121872.54545454546,40858.545454545456,103784.81818181818,43169.545454545456,68058.09090909091,79355.90909090909,47637.545454545456,304361.2727272727,212161.18181818182
21,18988.272727272728,7491.181818181818,12043.0,29728.727272727272,10103.0,17268.18181818182,2854.0,11363.454545454546,22817.18181818182,14628.0,3971.6363636363635,19531.454545454544,30778.0,17022.0,29670.727272727272,10585.09090909091,21185.18181818182,23700.545454545456
22,4799.818181818182,1980.909090909091,158.72727272727272,10132.181818181818,1146.909090909091,3044.0,99.9090909090909,14428.636363636364,2054.909090909091,4566.0,94.81818181818181,1180.4545454545455,218.9090909090909,1150.4545454545455,24831.545454545456,223.27272727272728,2013.8181818181818,1067.4545454545455
23,2.090909090909091,23.0,2.090909090909091,2.090909090909091,2.090909090909091,2.090909090909091,2.090909090909091,2.090909090909091,2.090909090909091,2.090909090909091,2.090909090909091,2.090909090909091,2.090909090909091,2.090909090909091,2.090909090909091,2.090909090909091,2.090909090909091,2.090909090909091
24,28700.81818181818,24.0,36472.454545454544,25440.545454545456,24968.636363636364,25427.272727272728,41253.181818181816,280916.7272727273,31966.909090909092,227244.36363636365,32076.090909090908,89875.63636363637,241356.9090909091,35997.63636363636,13671.454545454546,28934.18181818182,745678.1818181818,36423.09090909091
25,24501.454545454544,25.0,29944.545454545456,34763.63636363636,21928.454545454544,34940.90909090909,33923.09090909091,35103.63636363636,24524.545454545456,453755.8181818182,46201.09090909091,66138.0,35700.181818181816,27597.0,59221.181818181816,27666.0,1027152.0909090909,49147.818181818184
26,1054221.7272727273,26.0,1808612.2727272727,49198.545454545456,71470.09090909091,631950.0,53815.181818181816,40367.27272727273,19011.909090909092,616541.4545454546,49791.36363636364,37609.36363636364,842573.0,51552.63636363636,50176.72727272727,43419.27272727273,616047.5454545454,52885.181818181816
27,33897.63636363636,27.0,23702.272727272728,38348.454545454544,35147.181818181816,30855.909090909092,17286.18181818182,23432.090909090908,26309.454545454544,235934.63636363635,13975.181818181818,30551.18181818182,16735.454545454544,19256.545454545456,41939.818181818184,20268.909090909092,249976.81818181818,30037.909090909092
28,33260.0,28.0,257752.0,45596.545454545456,30737.090909090908,31137.909090909092,20766.727272727272,21432.545454545456,38578.09090909091,274671.63636363635,19263.909090909092,22391.636363636364,28799.090909090908,29745.545454545456,46551.181818181816,23012.545454545456,501829.0909090909,42887.0
29,100248.45454545454,29.0,48707.545454545456,87565.36363636363,52638.27272727273,58491.09090909091,781710.0909090909,62177.90909090909,219813.45454545456,60871.09090909091,59892.545454545456,285247.7272727273,60004.0,47185.72727272727,17808.909090909092,195306.27272727274,63424.545454545456,231873.27272727274
30,1115860.6363636365,30.0,1360054.8181818181,289884.54545454547,461005.45454545453,657807.2727272727,1069528.4545454546,767452.4545454546,2129115.3636363638,565181.5454545454,396407.8181818182,797239.6363636364,1589783.4545454546,708841.9090909091,120769.63636363637,1475647.1818181819,621160.4545454546,676564.8181818182
31,1354928.5454545454,31.0,1112406.0909090908,226608.36363636365,488357.45454545453,726457.8181818182,838317.0,756198.1818181818,2489350.909090909,547394.3636363636,421136.2727272727,772113.0,1592569.7272727273,780182.5454545454,102275.45454545454,1426847.8181818181,622122.8181818182,507753.63636363635
32,57948.72727272727,32.0,20364.363636363636,20169.545454545456,18368.090909090908,37746.0,87205.54545454546,37596.63636363636,77798.18181818182,61848.0,16738.909090909092,69252.63636363637,42649.545454545456,18981.636363636364,14484.90909090909,40117.181818181816,41152.454545454544,46448.454545454544
33,22760.090909090908,27600.81818181818,21984.454545454544,25339.909090909092,23273.909090909092,19530.909090909092,65633.18181818182,27283.636363636364,18677.545454545456,14816.818181818182,18156.909090909092,51369.90909090909,64857.27272727273,21671.909090909092,17318.727272727272,22113.18181818182,19757.272727272728,27504.090909090908
34,1898.909090909091,22271.090909090908,1298.6363636363637,3543.5454545454545,10733.545454545454,316.45454545454544,66083.45454545454,866.2727272727273,777606.2727272727,1115.909090909091,285.1818181818182,341.27272727272725,4807.545454545455,2216.0,75.18181818181819,3380.181818181818,928.0909090909091,26138.0
35,136130.18181818182,65495.818181818184,81432.0,132503.27272727274,87809.90909090909,137020.27272727274,102428.0,83307.09090909091,152554.9090909091,116080.0,147792.9090909091,75129.27272727272,94246.81818181818,71455.81818181818,144358.81818181818,92367.0,164268.81818181818,146175.18181818182
36,12.363636363636363,29928.545454545456,3.272727272727273,57.81818181818182,139.63636363636363,248.72727272727272,3.272727272727273,12.363636363636363,12.363636363636363,3.272727272727273,139.63636363636363,694.1818181818181,185.0909090909091,57.81818181818182,85.0909090909091,39.63636363636363,39.63636363636363,21.454545454545453
37,821.5454545454545,37951.36363636364,539.7272727272727,994.2727272727273,37.0,585.1818181818181,630.6363636363636,739.7272727272727,1085.1818181818182,303.3636363636364,539.7272727272727,1267.0,1612.4545454545455,676.0909090909091,503.3636363636364,921.5454545454545,894.2727272727273,748.8181818181819
38,83290.45454545454,56625.72727272727,56935.36363636364,89642.45454545454,38.0,64891.63636363636,85911.09090909091,126972.45454545454,110539.45454545454,118796.81818181818,12158.454545454546,127940.81818181818,99599.54545454546,67721.18181818182,7528.818181818182,64939.63636363636,64973.181818181816,123341.27272727272
39,43957.181818181816,1486727.4545454546,41102.181818181816,50119.0,39.0,38062.818181818184,174566.54545454544,28424.090909090908,100984.45454545454,327682.7272727273,29966.18181818182,146341.0,134039.0909090909,42474.0,31435.363636363636,86235.09090909091,33148.36363636364,118135.63636363637
40,3.6363636363636362,1602753.1818181819,76.36363636363636,40.0,40.0,3.6363636363636362,121.81818181818181,85.45454545454545,221.8181818181818,12.727272727272727,1121.8181818181818,712.7272727272727,3.6363636363636362,121.81818181818181,3.6363636363636362,149.0909090909091,3.6363636363636362,121.81818181818181
