,ACOHH,AntQHH,avegnepHH,baderHH,dynilsHH,genhiveHH,gissHH,HaeaHH,HAHAHH,iseaHH,ksatsHH,LearnGIHH,mcHH,mlHH,phunterHH,sailsHH,selfsearchHH,VnStwHH
0,1263.6363636363637,1263.6363636363637,1263.6363636363637,1263.6363636363637,1263.6363636363637,1263.6363636363637,1263.6363636363637,1263.6363636363637,1263.6363636363637,1263.6363636363637,1263.6363636363637,1263.6363636363637,1263.6363636363637,1263.6363636363637,1263.6363636363637,1263.6363636363637,1263.6363636363637,1263.6363636363637
1,1825.5454545454545,1825.5454545454545,1825.5454545454545,1825.5454545454545,1825.5454545454545,1825.5454545454545,1825.5454545454545,1825.5454545454545,1825.5454545454545,1825.5454545454545,1825.5454545454545,1825.5454545454545,1825.5454545454545,1825.5454545454545,1825.5454545454545,1825.5454545454545,1825.5454545454545,1825.5454545454545
2,1590.1818181818182,1590.1818181818182,1590.1818181818182,1590.1818181818182,1590.1818181818182,1590.1818181818182,1590.1818181818182,1590.1818181818182,1590.1818181818182,1590.1818181818182,1590.1818181818182,1590.1818181818182,1590.1818181818182,1590.1818181818182,1590.1818181818182,1590.1818181818182,1590.1818181818182,1590.1818181818182
3,1740.2727272727273,1740.2727272727273,1740.2727272727273,1740.2727272727273,1740.2727272727273,1740.2727272727273,1740.2727272727273,1740.2727272727273,1740.2727272727273,1740.2727272727273,1740.2727272727273,1740.2727272727273,1740.2727272727273,1740.2727272727273,1740.2727272727273,1740.2727272727273,1740.2727272727273,1740.2727272727273
4,1176.7272727272727,1176.7272727272727,1176.7272727272727,1176.7272727272727,1176.7272727272727,1176.7272727272727,1176.7272727272727,1176.7272727272727,1176.7272727272727,1176.7272727272727,1176.7272727272727,1176.7272727272727,1176.7272727272727,1176.7272727272727,1176.7272727272727,1176.7272727272727,1176.7272727272727,1176.7272727272727
5,1501.3636363636363,1501.3636363636363,1501.3636363636363,1501.3636363636363,1501.3636363636363,1501.3636363636363,1501.3636363636363,1501.3636363636363,1501.3636363636363,1501.3636363636363,1501.3636363636363,1501.3636363636363,1501.3636363636363,1501.3636363636363,1501.3636363636363,1501.3636363636363,1501.3636363636363,1501.3636363636363
6,1853.2727272727273,1853.2727272727273,1853.2727272727273,1853.2727272727273,1853.2727272727273,1853.2727272727273,1853.2727272727273,1853.2727272727273,1853.2727272727273,1855.4545454545455,1853.2727272727273,1853.2727272727273,1853.2727272727273,1853.2727272727273,1853.2727272727273,1853.2727272727273,1853.2727272727273,1853.2727272727273
7,1229.7272727272727,1229.7272727272727,1229.7272727272727,1229.7272727272727,1229.7272727272727,1229.7272727272727,1229.7272727272727,1229.7272727272727,1229.7272727272727,1229.7272727272727,1229.7272727272727,1229.7272727272727,1229.7272727272727,1229.7272727272727,1229.7272727272727,1229.7272727272727,1229.7272727272727,1229.7272727272727
8,1844.3636363636363,1844.3636363636363,1844.3636363636363,1844.3636363636363,1844.3636363636363,1844.3636363636363,1844.3636363636363,1844.3636363636363,1844.3636363636363,1844.3636363636363,1844.3636363636363,1844.3636363636363,1844.3636363636363,1844.3636363636363,1844.3636363636363,1844.3636363636363,1844.3636363636363,1844.3636363636363
9,1185.3636363636363,1185.3636363636363,1185.3636363636363,1185.3636363636363,1185.3636363636363,1185.3636363636363,1185.3636363636363,1185.3636363636363,1185.3636363636363,1185.3636363636363,1185.3636363636363,1185.3636363636363,1185.3636363636363,1185.3636363636363,1185.3636363636363,1185.3636363636363,1185.3636363636363,1185.3636363636363
