,ACOHH,AntQHH,avegnepHH,baderHH,dynilsHH,genhiveHH,gissHH,HaeaHH,HAHAHH,iseaHH,ksatsHH,LearnGIHH,mcHH,MLHH,phunterHH,sailsHH,selfsearchHH,VnStwHH
0,78321.90909090909,49665.454545454544,77879.45454545454,64704.545454545456,50656.181818181816,64138.818181818184,108615.90909090909,89858.63636363637,217204.63636363635,46472.27272727273,62068.454545454544,156351.9090909091,67774.54545454546,57990.818181818184,71216.0,59428.72727272727,140157.0,64321.0
1,227536.63636363635,55509.545454545456,165147.18181818182,124987.09090909091,88545.90909090909,127882.27272727272,436545.54545454547,83183.27272727272,101591.72727272728,77929.45454545454,52957.545454545456,341976.54545454547,108338.36363636363,90320.09090909091,27529.18181818182,67725.36363636363,22969.545454545456,56490.72727272727
2,29436.454545454544,36644.36363636364,33759.181818181816,38199.454545454544,37632.72727272727,33612.0,130002.90909090909,88882.45454545454,52147.181818181816,188513.27272727274,33612.72727272727,196565.0,102631.09090909091,32814.63636363636,32556.454545454544,32094.0,76219.54545454546,92897.27272727272
3,6503.454545454545,1664.6363636363637,5205.545454545455,11570.181818181818,18898.727272727272,6288.636363636364,121137.63636363637,2432.0,283327.0909090909,3310.090909090909,1265.0,1495.6363636363637,5726.363636363636,5703.181818181818,475.09090909090907,7340.545454545455,3572.181818181818,2290.909090909091
4,5340.545454545455,2800.909090909091,4299.090909090909,23119.363636363636,19177.363636363636,9831.363636363636,127109.18181818182,2031.8181818181818,300792.7272727273,2658.2727272727275,1631.4545454545455,2276.7272727272725,5333.272727272727,6508.181818181818,1310.3636363636363,6941.181818181818,4625.181818181818,2445.2727272727275
5,19793.727272727272,2463.090909090909,2573.181818181818,10265.818181818182,17703.909090909092,6889.0,127673.54545454546,2611.7272727272725,277335.0909090909,22617.81818181818,1180.7272727272727,5787.181818181818,5866.545454545455,6384.272727272727,873.2727272727273,6714.0,4464.181818181818,3114.5454545454545
6,511315.54545454547,85952.18181818182,396772.7272727273,436088.7272727273,659452.0,412106.63636363635,814918.9090909091,85557.72727272728,1479888.6363636365,124769.36363636363,43193.63636363636,214052.36363636365,866146.7272727273,476439.63636363635,72358.45454545454,856828.0909090909,69484.27272727272,97305.63636363637
7,2419852.5454545454,2792139.3636363638,3335545.6363636362,788914.1818181818,985197.5454545454,2377358.3636363638,1741525.1818181819,1380863.2727272727,4794519.7272727275,1203376.1818181819,88670.27272727272,2035639.6363636365,2579973.727272727,1574935.3636363635,87993.81818181818,2820360.090909091,1097826.3636363635,1603719.4545454546
8,2974556.0,2640996.272727273,3034441.8181818184,812764.3636363636,981177.2727272727,2342533.8181818184,1705783.4545454546,671349.1818181818,4232631.909090909,1052550.8181818181,45689.63636363636,1190673.3636363635,2325914.090909091,1539787.8181818181,56850.63636363636,3194656.727272727,1734983.2727272727,1215109.3636363635
9,1426981.8181818181,1168515.7272727273,1274196.7272727273,957597.3636363636,939093.3636363636,1888424.7272727273,1118402.1818181819,2159768.8181818184,2632262.5454545454,2399761.1818181816,1984793.8181818181,2996863.727272727,2827665.272727273,865778.6363636364,817953.6363636364,2398682.909090909,988789.8181818182,3093718.6363636362
10,66949.45454545454,55192.27272727273,81311.45454545454,76208.45454545454,93700.63636363637,93717.54545454546,423672.7272727273,65511.818181818184,208947.9090909091,182777.0,55973.09090909091,299082.1818181818,93441.45454545454,73478.63636363637,10993.454545454546,203670.0909090909,159186.63636363635,90209.63636363637
11,27833.18181818182,23603.0,29432.636363636364,32539.909090909092,22368.0,33760.63636363636,85381.0,36763.63636363636,86271.72727272728,76279.0,27269.0,131159.0,50153.454545454544,25831.727272727272,22809.545454545456,30967.090909090908,70357.09090909091,29893.363636363636
12,48399.454545454544,50126.818181818184,159412.0909090909,43860.09090909091,58463.36363636364,600794.8181818182,59205.454545454544,793741.1818181818,48244.36363636364,610766.3636363636,61084.90909090909,128466.54545454546,674490.1818181818,38423.0,52871.545454545456,143031.0909090909,1261453.7272727273,71162.45454545454
13,87978.18181818182,19288.454545454544,17571.18181818182,31031.545454545456,26495.81818181818,400832.36363636365,63517.818181818184,22891.81818181818,561111.2727272727,262302.63636363635,185847.72727272726,56181.09090909091,431515.7272727273,29649.81818181818,22307.909090909092,195348.63636363635,158086.27272727274,95978.18181818182
14,34379.27272727273,18628.81818181818,23593.363636363636,29179.272727272728,27279.0,22137.909090909092,74930.18181818182,348371.45454545453,264334.0909090909,389901.45454545453,87081.45454545454,56364.36363636364,413734.36363636365,25853.363636363636,29172.636363636364,24205.545454545456,99955.18181818182,20859.81818181818
15,355909.36363636365,26226.454545454544,188617.54545454544,20204.909090909092,29253.0,192814.27272727274,62919.545454545456,331743.8181818182,508587.8181818182,356153.63636363635,23159.0,68829.72727272728,501542.1818181818,328319.0,24063.454545454544,20157.363636363636,452790.63636363635,43005.63636363636
16,28364.545454545456,21741.090909090908,527740.8181818182,26105.909090909092,37146.36363636364,33407.63636363636,71686.90909090909,35723.181818181816,331842.1818181818,364086.1818181818,43304.27272727273,63347.27272727273,694064.8181818182,340519.36363636365,30447.909090909092,28110.545454545456,199088.0909090909,47187.09090909091
17,37874.454545454544,28292.454545454544,364254.63636363635,29173.545454545456,27910.090909090908,40183.63636363636,39595.72727272727,25342.909090909092,361245.54545454547,215125.27272727274,24832.727272727272,31960.81818181818,187414.63636363635,29026.18181818182,23848.272727272728,21297.0,182036.81818181818,32271.727272727272
18,233613.63636363635,203158.54545454544,376515.0909090909,58158.36363636364,31501.272727272728,217133.54545454544,56506.181818181816,36600.27272727273,224442.81818181818,33999.545454545456,27821.909090909092,67316.63636363637,61246.818181818184,48127.454545454544,105007.72727272728,31986.090909090908,220951.81818181818,53030.818181818184
19,622827.0,272640.2727272727,404186.2727272727,946327.0909090909,739900.5454545454,323693.7272727273,1109255.3636363635,405164.9090909091,386199.54545454547,460748.45454545453,135309.36363636365,1146798.4545454546,832399.1818181818,466603.54545454547,666303.4545454546,255129.63636363635,392955.0909090909,460301.54545454547
20,41420.454545454544,36372.181818181816,183582.72727272726,93130.36363636363,63162.181818181816,185905.81818181818,66992.09090909091,43221.36363636364,444493.1818181818,46932.545454545456,35352.72727272727,88256.09090909091,202967.0,62408.545454545456,71783.81818181818,46169.72727272727,361687.36363636365,54375.0
21,21016.18181818182,7883.090909090909,9409.545454545454,27219.363636363636,9228.181818181818,15253.09090909091,4722.0,16278.818181818182,16997.454545454544,15306.363636363636,8406.636363636364,19367.18181818182,26487.636363636364,18765.636363636364,13581.636363636364,11435.272727272728,6566.727272727273,18893.545454545456
22,1969.3636363636363,112.0909090909091,5353.909090909091,3337.818181818182,1156.5454545454545,250.63636363636363,83.72727272727273,11441.0,11783.363636363636,16495.909090909092,123.72727272727273,2075.818181818182,2055.909090909091,1100.5454545454545,19701.81818181818,2019.5454545454545,8064.818181818182,173.0909090909091
23,2.090909090909091,26038.81818181818,2.090909090909091,2.090909090909091,2.090909090909091,2.090909090909091,2.090909090909091,2.090909090909091,2.090909090909091,2.090909090909091,2.090909090909091,2.090909090909091,2.090909090909091,2.090909090909091,2.090909090909091,2.090909090909091,2.090909090909091,2.090909090909091
24,34754.181818181816,32911.36363636364,28071.636363636364,38883.181818181816,30527.909090909092,29449.0,43500.818181818184,435267.2727272727,23539.81818181818,277181.0909090909,27900.727272727272,42235.27272727273,269033.2727272727,39719.90909090909,15551.727272727272,26495.0,24231.545454545456,37058.63636363636
25,437019.36363636365,49191.454545454544,837990.5454545454,31737.18181818182,23156.909090909092,36144.27272727273,27909.272727272728,32984.454545454544,25615.0,272975.8181818182,25084.81818181818,64563.818181818184,236188.0,38225.36363636364,28253.363636363636,23758.363636363636,233638.18181818182,50355.63636363636
26,1519916.8181818181,30647.090909090908,1759996.7272727273,46190.454545454544,70563.81818181818,690099.0,53889.09090909091,39597.90909090909,37257.72727272727,471144.8181818182,40945.0,42723.63636363636,1193941.4545454546,49242.36363636364,35036.36363636364,51531.181818181816,885876.4545454546,71143.18181818182
27,31242.545454545456,40135.181818181816,14699.363636363636,33376.0,39184.181818181816,20496.0,18703.18181818182,18908.0,23369.0,28673.81818181818,21383.909090909092,21444.090909090908,25681.363636363636,14339.272727272728,50564.90909090909,17496.545454545456,253406.54545454544,23436.545454545456
28,265324.1818181818,51918.181818181816,21650.363636363636,44594.818181818184,33105.72727272727,29942.272727272728,16748.727272727272,31522.909090909092,36749.0,262613.45454545453,18594.363636363636,25890.454545454544,263367.45454545453,26131.909090909092,47222.454545454544,22092.363636363636,266185.36363636365,42887.0
29,65366.27272727273,1643546.4545454546,60293.181818181816,74704.72727272728,54220.454545454544,114007.90909090909,704116.8181818182,91682.18181818182,112908.36363636363,66168.27272727272,53964.09090909091,302471.0909090909,65560.63636363637,52728.63636363636,15334.636363636364,74148.0,26770.0,108441.72727272728
30,1369446.9090909092,1737302.2727272727,1107816.2727272727,383913.63636363635,490416.7272727273,1203235.8181818181,821305.3636363636,868388.2727272727,1981108.5454545454,542545.0,351989.2727272727,1035161.1818181818,1680246.4545454546,729561.4545454546,61568.27272727273,1672061.9090909092,617411.7272727273,1029941.8181818182
31,1063865.9090909092,18343.727272727272,1387453.9090909092,346922.7272727273,484874.0,1318205.0,1010985.2727272727,1008377.3636363636,2383946.1818181816,486569.54545454547,441582.54545454547,1200662.7272727273,1732246.8181818181,800223.7272727273,57801.72727272727,1640387.9090909092,390964.9090909091,739608.0
32,60312.09090909091,19194.090909090908,19810.81818181818,26107.090909090908,19671.909090909092,36993.63636363636,38033.90909090909,45308.36363636364,15584.09090909091,56319.181818181816,17166.545454545456,56729.36363636364,57991.818181818184,23456.909090909092,7277.727272727273,39971.90909090909,35288.72727272727,41058.09090909091
33,42346.90909090909,832.1818181818181,21265.0,35507.0,26794.0,20735.272727272728,39258.72727272727,40057.818181818184,37386.545454545456,53071.27272727273,18621.636363636364,69080.72727272728,42941.72727272727,22690.727272727272,9134.0,25523.81818181818,39962.27272727273,44622.181818181816
34,2287.0,89624.72727272728,2027.0,2699.181818181818,13122.90909090909,3877.7272727272725,25521.363636363636,3482.090909090909,1455170.8181818181,851.1818181818181,342.1818181818182,337.09090909090907,4333.090909090909,2568.181818181818,215.72727272727272,3157.7272727272725,1527.3636363636363,1793.0
35,160722.0,57697.09090909091,92359.36363636363,152545.27272727274,133381.81818181818,112453.72727272728,83308.0,88791.54545454546,218966.9090909091,72375.81818181818,177825.0909090909,87860.54545454546,136066.72727272726,88709.81818181818,164405.27272727274,77779.0,111522.45454545454,148011.81818181818
36,3.272727272727273,34437.545454545456,212.36363636363637,85.0909090909091,8466.363636363636,21.454545454545453,30.545454545454547,12.363636363636363,57.81818181818182,3.272727272727273,66.9090909090909,703.2727272727273,185.0909090909091,3.272727272727273,30.545454545454547,66.9090909090909,112.36363636363636,130.54545454545453
37,730.6363636363636,16830.81818181818,912.4545454545455,1157.909090909091,31047.909090909092,994.2727272727273,285.1818181818182,512.4545454545455,585.1818181818181,476.09090909090907,721.5454545454545,2303.3636363636365,912.4545454545455,994.2727272727273,48.81818181818182,730.6363636363636,976.0909090909091,967.0
38,69656.90909090909,8559.90909090909,55955.72727272727,62306.818181818184,167347.81818181818,61250.63636363636,74998.27272727272,118781.27272727272,104172.54545454546,90463.90909090909,4895.636363636364,127029.63636363637,84143.63636363637,34945.36363636364,168.63636363636363,58563.63636363636,45841.0,109658.18181818182
39,37149.63636363636,29548.0,40203.90909090909,39776.0,22337.81818181818,39033.36363636364,78819.45454545454,36983.72727272727,132075.63636363635,51096.545454545456,69268.81818181818,133150.36363636365,238024.0909090909,34026.545454545456,32599.0,42047.0,27428.18181818182,81569.45454545454
