,ACOHH,AntQHH,avegnepHH,baderHH,dynilsHH,genhiveHH,gissHH,HaeaHH,HAHAHH,iseaHH,ksatsHH,LearnGIHH,mcHH,mlHH,phunterHH,sailsHH,selfsearchHH,VnStwHH
0,2351.608770511964,2413.12970081168,2370.7437977330947,2434.6259151226095,2353.6568049306416,2351.608770511964,2393.793860310044,2351.608770511964,2352.081108285111,2351.608770511964,2358.91744934837,2351.608770511964,2459.3583144786953,2351.608770511964,2351.608770511964,2394.0250242706725,2387.8195543787506,2357.4694711041097
1,30476.18955221416,30476.18955221416,30476.18955221416,30493.817252698496,30476.18955221416,30476.18955221416,30476.18955221416,30476.18955221416,30476.18955221416,30476.18955221416,30476.18955221416,30476.18955221416,30476.18955221416,30476.18955221416,30476.18955221416,30476.18955221416,30476.18955221416,30476.189552214168
2,79313.91888627346,81671.11058756412,80386.97193955733,82266.42951585905,79235.94053102183,79428.98601962562,80925.96701144183,79342.93776953379,79889.43701962038,79070.69368481533,80335.9519412024,79193.70695960974,81818.55492738873,79003.71278261527,79369.20541921903,81106.6770254207,81049.7666841508,79346.30275994775
3,1834.553114891528,1914.8448496561782,1862.3912764034446,1930.8900142524267,1831.8436055816949,1836.2986957125918,1891.839648008246,1829.1654358928952,1850.5368976201796,1830.0795069462984,1878.7777314212217,1830.0136590942636,1848.7488141731556,1832.022800689946,1832.466389039753,1928.943932819419,1861.2848551621043,1832.2597348818488
4,6858.87809264008,6858.87809264008,6858.87809264008,6858.87809264008,6858.87809264008,6858.87809264008,6858.87809264008,6858.87809264008,6858.87809264008,6858.87809264008,6858.87809264008,6858.87809264008,6858.87809264008,6858.87809264008,6858.87809264008,6858.87809264008,6858.87809264008,6858.878092640079
5,107540.0216506088,108013.17617748094,107581.00646784343,108833.65216506673,107540.0216506088,107540.0216506088,107665.00735206624,107540.0216506088,107542.91884765094,107540.0216506088,107545.81604469311,107540.0216506088,107982.1493911726,107540.0216506088,107540.0216506088,107649.20677135255,107947.90423605194,107540.0216506088
6,5555.74745460514,5576.369805066946,5555.747454605141,5630.155735414093,5555.74745460514,5555.74745460514,5558.482931871897,5555.74745460514,5555.74745460514,5555.74745460514,5555.747454605141,5555.74745460514,5579.699295183398,5555.74745460514,5555.74745460514,5560.676687831087,5581.125389451652,5555.747454605139
7,5937.820656229263,5939.484074618188,5937.820656229263,6021.635275600732,5937.820656229263,5937.820656229263,5937.820656229265,5937.820656229263,5937.820656229263,5937.820656229263,5937.820656229263,5937.820656229263,5943.555210775558,5937.820656229263,5937.820656229263,5937.820656229263,5945.861657354189,5937.8206562292635
8,44729.70454153831,46621.546638445245,45717.26271780112,47107.249901513154,44588.163923688866,44868.23672389089,46222.087019243154,44656.83148989303,45364.181157191815,44716.07448137648,45745.407646714935,44647.4026453507,46669.54139677553,44607.95440182246,44689.06413532993,46480.50566001278,46224.95710236008,44652.84241598213
9,48359.702168180724,50165.64520643268,52881.41729488347,50206.692677800085,48765.85928446899,50964.9834052593,54700.185644969715,48547.14772684308,51220.80827259845,48171.63733795623,54509.570684224156,48322.43282926597,52423.69531143958,50024.80093154765,48282.168868592,53272.17911864776,51285.261829833944,48578.54286633974
10,58351.05024754449,62123.099166992746,62131.34740724939,62422.626503090374,58602.83746169291,59063.13454750053,66186.42735155277,58856.57136982772,61717.988027631145,58787.04827576773,64958.1116551422,58156.14409091114,59961.89275406418,59388.27223745096,58929.39163654162,63520.938005343334,62811.77458935517,58881.57722027798
11,76143.34735578463,76267.26468620446,79236.72610416463,76594.81680780271,74806.24624772609,77600.97516793007,79799.10277409045,74944.96331332551,76837.0332038487,74416.87555667119,80206.36894393188,74221.14039160489,79144.72551386722,75187.40193944404,74134.0350466786,78141.63337247363,77319.65662285913,74756.15842002982
12,1497303.9597773163,1500661.981884811,1512793.1947005389,1505570.1237818869,1486977.6844319294,1485836.3268814664,1512140.9237516497,1485751.8589216133,1501234.3757057346,1481780.441778139,1503758.4378806017,1483423.5574029624,1522884.4501839152,1485532.43139569,1498841.5418110306,1499086.0081963877,1497048.3691383544,1487236.4000865638
13,614195.1895670653,615068.3409230305,628367.8168486856,616681.8712830406,611714.4596321337,611854.3037762997,617116.0502371751,609263.9174628576,614249.3259901649,611392.4940803084,615743.930743348,608423.6611913821,619267.8225460326,609371.7149587255,612842.3819512363,614983.5305463878,611817.2989236111,611434.8102335039
14,18903.26567060117,19664.57972097013,20567.539429727785,20494.011018876245,18940.964853135312,19258.780789628123,21921.634268374975,18911.267358281624,19980.18630243133,18974.58120458345,20303.005940520125,18915.613440210953,19326.53990825123,19006.784288875064,18897.798210960147,21427.173372648107,20635.32407099171,19112.849832415406
15,21524.419472025653,21860.025077320985,23081.69010602047,22097.309493334153,21896.469453956477,22849.000471640382,24376.92606802325,21579.26854441442,22719.400438645538,21188.877690099485,24043.701784922403,21142.391939706915,23385.977736978526,22456.187596294883,21091.381287557717,23005.83108775073,22546.821725551763,21504.445167061025
16,27737.14500337811,28110.127599104053,29570.238429050365,28443.063307448207,27618.6472365991,29082.643942456878,30442.764091301706,27796.18121818395,28128.214508102,27632.601257394617,29792.391280715077,27565.847171070378,29379.465878821884,27712.403619565615,27610.942988506307,28613.48832255027,28618.00649670819,27715.167481948112
17,172446.64394056887,173552.54706945177,173577.45238908863,173979.42360515482,170030.25597294883,170507.7973936665,174458.94835593723,170671.27698586558,172612.54204697695,170195.05751326444,172675.05240894583,170490.05698510038,173480.83515927114,169848.75307978204,171253.36963596838,174894.97971607407,174116.49537861353,170500.1951227416
